VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATOR	
C12_MEN	Ménages en 2012 (compl)	Nombre de ménages	households		
C12_MENPSEUL	Ménages 1 personne en 2012 (compl)	Nombre de ménages d'une personne	households	C12_MEN	
C12_MENHSEUL	Ménages Hommes seuls en 2012 (compl)	Nombre de ménages composés d'hommes seuls	households	C12_MEN	
C12_MENFSEUL	Ménages Femmes seules en 2012 (compl)	Nombre de ménages composés de femmes seules	households	C12_MEN	
C12_MENSFAM	Ménages Autres sans famille en 2012 (compl)	Nombre de ménages autres sans famille	households	C12_MEN	
C12_MENFAM	Ménages avec famille(s) en 2012 (compl)	Nombre de ménages avec famille(s)	households	C12_MEN	
C12_MENCOUPSENF	Mén fam princ Couple sans enfant en 2012 (compl)	Nombre de ménages dont la famille principale est formée d'un couple sans enfant	households	C12_MENFAM	
C12_MENCOUPAENF	Mén fam princ Couple avec enfant(s) en 2012 (compl)	Nombre de ménages dont la famille principale est formée d'un couple avec enfant(s)	households	C12_MENFAM	
C12_MENFAMMONO	Mén fam princ Famille mono en 2012 (compl)	Nombre de ménages dont la famille principale est une famille monoparentale	households	C12_MENFAM	
C12_PMEN	Pop Ménages en 2012 (compl)	Nombre de personnes des ménages	people		
C12_PMEN_MENPSEUL	Pop mén Personnes seules en 2012 (compl)	Nombre de personnes des ménages d'une personne	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENHSEUL	Pop mén Hommes seuls en 2012 (compl)	Nombre de personnes des ménages composés d'hommes seuls	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENFSEUL	Pop mén Femmes seules en 2012 (compl)	Nombre de personnes des ménages composés de femmes seules	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENSFAM	Pop mén Autres sans famille en 2012 (compl)	Nombre de personnes des ménages Autres sans famille	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENFAM	Pop mén avec famille(s) en 2012 (compl)	Nombre de personnes des ménages avec famille(s)	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENCOUPSENF	Pop mén fam princ Couple sans enfant en 2012 (compl)	Nombre de personnes des ménages dont la famille principale est un couple sans enfant	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENCOUPAENF	Pop mén fam princ Couple avec enfant(s) en 2012 (compl)	Nombre de personnes des ménages dont la famille principale est un couple avec enfant(s)	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENFAMMONO	Pop mén fam princ Famille mono en 2012 (compl)	Nombre de personnes des ménages dont la famille principale est une famille monoparentale	people	C12_PMEN_MENPSEUL	
P12_POP15P	Pop 15 ans ou plus en 2012 (princ)	Nombre de personnes de 15 ans ou plus	people	P12_POP	
P12_POP1524	Pop 15-24 ans en 2012 (princ)	Nombre de personnes de 15 à 24 ans	people	P12_POP15P	
P12_POP2554	Pop 25-54 ans en 2012 (princ)	Nombre de personnes de 25 à 54 ans	people	P12_POP15P	
P12_POP5579	Pop 55-79 ans en 2012 (princ)	Nombre de personnes de 55 à 79 ans	people	P12_POP15P	
P12_POP80P	Pop 80 ans ou plus en 2012 (princ)	Nombre de personnes de 80 ans ou plus	families	P12_POP15P	
P12_POPMEN15P	Pop mén 15 ans ou plus en 2012 (princ)	Nombre de personnes des ménages de 15 ans ou plus	families	P12_POP15P	
P12_POPMEN1524	Pop mén 15-24 ans en 2012 (princ)	Nombre de personnes des ménages de 15 à 24 ans	families	P12_POP1524	
P12_POPMEN2554	Pop mén 25-54 ans en 2012 (princ)	Nombre de personnes des ménages de 25 à 54 ans	families	P12_POP2554	
P12_POPMEN5579	Pop mén 55-79 ans en 2012 (princ)	Nombre de personnes des ménages de 55 à 79 ans	families	P12_POP5579	
P12_POPMEN80P	Pop mén 80 ans ou plus en 2012 (princ)	Nombre de personnes des ménages de 80 ans ou plus	families	P12_POP80P	
P12_POP15P_PSEUL	Pop 15 ans ou plus ans vivant seule en 2012 (princ)	Nombre de personnes de 15 ans ou plus vivant seules	people	P12_POP15P	
P12_POP1524_PSEUL	Pop 15-24 ans vivant seule en 2012 (princ)	Nombre de personnes de 15 à 24 ans vivant seules	people	P12_POP1524	
P12_POP2554_PSEUL	Pop 25-54 ans vivant seule en 2012 (princ)	Nombre de personnes de 25 à 54 ans vivant seules	people	P12_POP2554	
